Iteration,GradientNorm
1,16.8557
2,9.13612
3,8.54434
4,8.00516
5,6.55533
6,5.39951
7,3.27011
8,2.18739
9,1.2343
10,0.863761
11,0.713515
12,0.617969
13,0.537195
14,0.493693
15,0.459438
16,0.431424
17,0.408465
18,0.388514
19,0.371248
20,0.355209
21,0.340031
22,0.325883
23,0.312621
24,0.301485
25,0.291477
26,0.282646
27,0.274575
28,0.267222
29,0.260425
30,0.254109
31,0.248199
32,0.242644
33,0.237398
34,0.232428
35,0.227704
36,0.223204
37,0.218907
38,0.214798
39,0.210862
40,0.207088
41,0.203465
42,0.199981
43,0.196628
44,0.193396
45,0.190276
46,0.187262
47,0.184346
48,0.181523
49,0.178788
50,0.176138
51,0.173572
52,0.171088
53,0.168687
54,0.166368
55,0.16413
56,0.161971
57,0.159888
58,0.157879
59,0.15594
60,0.154068
61,0.152258
62,0.150508
63,0.148814
64,0.147172
65,0.14558
66,0.144034
67,0.142531
68,0.141069
69,0.139646
70,0.13826
71,0.136909
72,0.13559
73,0.134304
74,0.133047
75,0.13182
76,0.13062
77,0.129446
78,0.128298
79,0.127174
80,0.126073
81,0.124995
82,0.123938
83,0.122902
84,0.121886
85,0.12089
86,0.119913
87,0.118954
88,0.118012
89,0.117088
90,0.11618
91,0.115289
92,0.114413
93,0.113553
94,0.112707
95,0.111876
96,0.111059
97,0.110256
98,0.109466
99,0.108689
100,0.107924
101,0.107172
102,0.106432
103,0.105703
104,0.104986
105,0.10428
106,0.103584
107,0.1029
108,0.102225
109,0.101561
110,0.100907
111,0.100262
112,0.0996269
113,0.0990008
114,0.0983839
115,0.0977757
116,0.0971762
117,0.0965851
118,0.0960023
119,0.0954277
120,0.0948609
121,0.094302
122,0.0937506
123,0.0932068
124,0.0926702
125,0.0921407
126,0.0916181
127,0.0911023
128,0.0905932
129,0.0900908
130,0.0895947
131,0.089105
132,0.0886215
133,0.0881439
134,0.0876723
135,0.0872065
136,0.0867464
137,0.0862919
138,0.085843
139,0.0853995
140,0.0849613
141,0.0845283
142,0.0841004
143,0.0836773
144,0.0832593
145,0.0828461
146,0.0824375
147,0.0820337
148,0.081634
149,0.0812389
150,0.0808483
151,0.080462
152,0.0800799
153,0.0797019
154,0.0793281
155,0.0789583
156,0.0785924
157,0.0782303
158,0.0778721
159,0.0775176
160,0.0771668
161,0.0768199
162,0.0764763
163,0.0761362
164,0.0757995
165,0.0754662
166,0.0751362
167,0.0748095
168,0.0744861
169,0.0741658
170,0.0738487
171,0.0735347
172,0.0732236
173,0.0729156
174,0.0726105
175,0.0723083
176,0.072009
177,0.0717124
178,0.0714187
179,0.0711276
180,0.0708393
181,0.0705535
182,0.0702704
183,0.0699899
184,0.0697119
185,0.0694365
186,0.0691635
187,0.068893
188,0.0686248
189,0.0683589
190,0.0680954
191,0.0678342
192,0.0675753
193,0.0673186
194,0.0670641
195,0.0668118
196,0.0665616
197,0.0663135
198,0.0660676
199,0.0658237
200,0.0655818
201,0.0653419
202,0.065104
203,0.0648681
204,0.0646341
205,0.0644018
206,0.0641716
207,0.0639433
208,0.0637167
209,0.063492
210,0.0632691
211,0.0630479
212,0.0628285
213,0.0626108
214,0.0623948
215,0.0621805
216,0.0619678
217,0.0617568
218,0.0615474
219,0.0613397
220,0.0611335
221,0.0609288
222,0.0607257
223,0.0605242
224,0.0603241
225,0.0601255
226,0.0599284
227,0.0597328
228,0.0595386
229,0.0593458
230,0.0591544
231,0.0589644
232,0.0587758
233,0.0585886
234,0.0584026
235,0.0582181
236,0.0580348
237,0.0578529
238,0.0576721
239,0.0574927
240,0.0573146
241,0.0571377
242,0.056962
243,0.0567876
244,0.0566144
245,0.0564423
246,0.0562715
247,0.0561018
248,0.0559333
249,0.0557659
250,0.0555997
251,0.0554345
252,0.0552705
253,0.0551076
254,0.0549458
255,0.0547851
256,0.0546254
257,0.0544668
258,0.0543092
259,0.0541527
260,0.0539972
261,0.0538427
262,0.0536892
263,0.0535368
264,0.0533852
265,0.0532348
266,0.0530853
267,0.0529367
268,0.0527891
269,0.0526424
270,0.0524966
271,0.0523518
272,0.0522079
273,0.0520648
274,0.0519227
275,0.0517815
276,0.0516411
277,0.0515017
278,0.0513631
279,0.0512253
280,0.0510884
281,0.0509523
282,0.0508171
283,0.0506827
284,0.0505491
285,0.0504164
286,0.0502844
287,0.0501532
288,0.0500228
