Iteration,GradientNorm
1,16.0186
2,9.14825
3,7.88143
4,5.57058
5,2.73089
6,1.70216
7,1.27996
8,2.11021
9,1.83286
10,0.943698
11,0.709265
12,0.633566
13,3.06975
14,0.902889
15,0.538393
16,0.439145
17,1.36103
18,0.562498
19,0.358636
20,0.318908
21,0.786262
22,0.42585
23,0.280356
24,0.251341
25,0.745131
26,0.591764
27,0.26228
28,0.209658
29,0.191303
30,1.62775
31,0.634246
32,0.237151
33,0.1967
34,0.202297
35,0.30565
36,0.610421
37,0.427424
38,0.183003
39,0.14208
40,0.135381
41,0.643705
42,0.335693
43,0.137767
44,0.114542
45,0.114926
46,0.194171
47,0.26346
48,0.180413
49,0.10186
50,0.0820566
51,0.0900358
52,0.626737
53,0.106323
54,0.0874997
55,0.0684752
56,0.0925027
57,0.118421
58,0.105324
59,0.0739422
60,0.060908
61,0.076831
62,0.0830557
63,0.0672031
64,0.0556725
65,0.0612739
66,0.256146
67,0.0628652
68,0.0538134
69,0.138036
70,0.0917847
71,0.0523172
