Iteration,GradientNorm
1,34385.2
2,32472.3
3,30232.2
4,20611.7
5,15330.7
6,11883.1
7,9472.01
8,7724.32
9,6427.79
10,5448.74
11,4698.13
12,4114.55
13,3654.79
14,3287.87
15,2991.39
16,2748.9
17,2548.27
18,2380.42
19,2238.52
20,2117.34
21,2012.87
22,1922
23,1842.27
24,1771.75
25,1708.89
26,1652.44
27,1601.42
28,1555
29,1512.51
30,1473.4
31,1437.23
32,1403.62
33,1372.25
34,1342.86
35,1315.22
36,1289.16
37,1264.5
38,1241.12
39,1218.89
40,1197.71
41,1177.5
42,1158.16
43,1139.64
44,1121.88
45,1104.81
46,1088.4
47,1072.59
48,1057.36
49,1042.65
50,1028.45
51,1014.71
52,1001.42
53,988.557
54,976.086
55,963.991
56,952.254
57,940.857
58,929.782
59,919.014
60,908.539
61,898.344
62,888.416
63,878.743
64,869.314
65,860.119
66,851.149
67,842.394
68,833.845
69,825.495
70,817.335
71,809.359
72,801.559
73,793.93
74,786.465
75,779.159
76,772.005
77,764.998
78,758.134
79,751.408
80,744.816
81,738.352
82,732.013
83,725.795
84,719.695
85,713.708
86,707.832
87,702.062
88,696.397
89,690.833
90,685.366
91,679.995
92,674.717
93,669.529
94,664.429
95,659.414
96,654.483
97,649.633
98,644.861
99,640.167
100,635.548
101,631.001
102,626.527
103,622.122
104,617.785
105,613.515
106,609.309
107,605.167
108,601.087
109,597.067
110,593.107
111,589.204
112,585.358
113,581.568
114,577.831
115,574.148
116,570.516
117,566.936
118,563.405
119,559.923
120,556.488
121,553.1
122,549.758
123,546.461
124,543.208
125,539.998
126,536.83
127,533.704
128,530.619
129,527.573
130,524.566
131,521.598
132,518.668
133,515.775
134,512.917
135,510.096
136,507.309
137,504.557
138,501.839
139,499.154
140,496.501
141,493.88
142,491.291
143,488.732
144,486.204
145,483.706
146,481.236
147,478.796
148,476.384
149,474
150,471.643
151,469.313
152,467.009
153,464.732
154,462.48
155,460.253
156,458.05
157,455.873
158,453.719
159,451.588
160,449.481
161,447.397
162,445.335
163,443.295
164,441.277
165,439.28
166,437.304
167,435.349
168,433.415
169,431.5
170,429.606
171,427.73
172,425.874
173,424.037
174,422.219
175,420.418
176,418.636
177,416.872
