Iteration,GradientNorm
1,58302
2,46588.5
3,37228.4
4,29748.9
5,23772.1
6,18996.2
7,15179.7
8,12130
9,9693.06
10,7745.69
11,6189.55
12,4946.05
13,3952.38
14,3158.33
15,2523.81
16,2016.77
17,1611.6
18,1287.82
19,1029.09
20,822.346
21,657.133
22,525.112
23,419.614
24,335.31
25,267.944
26,214.111
27,171.093
28,136.718
29,109.249
30,87.2982
31,69.7575
32,55.7425
33,44.5413
34,35.5924
35,28.4394
36,22.7253
37,18.1573
38,14.5089
39,11.5946
40,9.26467
41,7.40398
42,5.91593
43,4.728
44,3.77756
45,3.01923
46,2.41208
47,1.92807
48,1.54014
49,1.23131
50,0.983353
51,0.786382
52,0.627813
53,0.50227
54,0.40078
55,0.320849
56,0.255807
57,0.205001
58,0.163234
59,0.131027
60,0.104123
61,0.0837929
62,0.0663795
63,0.0536347
64,0.0422832
65,0.0343827
66,0.0269038
67,0.0220982
68,0.0170953
69,0.0142676
70,0.0108511
71,0.00928822
72,0.0068945
73,0.00613933
74,0.00441645
75,0.00417159
