Iteration,GradientNorm
1,36277.1
2,38054.5
3,38002.4
4,37963
5,37923.7
6,37884.5
7,37845.3
8,37806.1
9,37767
10,37727.9
11,37688.9
12,37649.9
13,37611
14,37572.1
15,37533.3
16,37494.5
17,37455.7
18,37417
19,37378.4
20,37339.8
21,37301.2
22,37262.7
23,37224.2
24,37185.8
25,37147.4
26,37109.1
27,37070.8
28,37032.6
29,36994.4
30,36956.2
31,36918.1
32,36880
33,36842
34,36804.1
35,36766.1
36,36728.2
37,36690.4
38,36652.6
39,36614.9
40,36577.2
41,36539.5
42,36501.9
43,36464.3
44,36426.8
45,36389.3
46,36351.9
47,36314.5
48,36277.2
49,36239.9
50,36202.6
51,36165.4
52,36128.2
53,36091.1
54,36054
55,36017
56,35980
57,35943
58,35906.1
59,35869.3
60,35832.4
61,35795.7
62,35758.9
63,35722.3
64,35685.6
65,35649
66,35612.5
67,35575.9
68,35539.5
69,35503
70,35466.7
71,35430.3
72,35394
73,35357.8
74,35321.6
75,35285.4
76,35249.3
77,35213.2
78,35177.1
79,35141.2
80,35105.2
81,35069.3
82,35033.4
83,34997.6
84,34961.8
85,34926.1
86,34890.4
87,34854.7
88,34819.1
89,34783.5
90,34748
91,34712.5
92,34677.1
93,34641.7
94,34606.3
95,34571
96,34535.7
97,34500.5
98,34465.3
99,34430.1
100,34395
101,34360
102,34324.9
103,34289.9
104,34255
105,34220.1
106,34185.2
107,34150.4
108,34115.6
109,34080.9
110,34046.2
111,34011.6
112,33976.9
113,33942.4
114,33907.8
115,33873.4
116,33838.9
117,33804.5
118,33770.1
119,33735.8
120,33701.5
121,33667.3
122,33633.1
123,33598.9
124,33564.8
125,33530.7
126,33496.7
127,33462.7
128,33428.7
129,33394.8
130,33360.9
131,33327.1
132,33293.3
133,33259.5
134,33225.8
135,33192.1
136,33158.5
137,33124.9
138,33091.3
139,33057.8
140,33024.3
141,32990.9
142,32957.5
143,32924.1
144,32890.8
145,32857.5
146,32824.3
147,32791.1
148,32757.9
149,32724.8
150,32691.7
151,32658.7
152,32625.7
153,32592.7
154,32559.8
155,32526.9
156,32494.1
157,32461.3
158,32428.5
159,32395.8
160,32363.1
161,32330.4
162,32297.8
163,32265.2
164,32232.7
165,32200.2
166,32167.7
167,32135.3
168,32102.9
169,32070.6
170,32038.3
171,32006
172,31973.8
173,31941.6
174,31909.5
175,31877.4
176,31845.3
177,31813.2
178,31781.2
179,31749.3
180,31717.4
181,31685.5
182,31653.6
183,31621.8
184,31590.1
185,31558.3
186,31526.6
187,31495
188,31463.4
189,31431.8
190,31400.2
191,31368.7
192,31337.3
193,31305.8
194,31274.4
195,31243.1
196,31211.8
197,31180.5
198,31149.2
199,31118
200,31086.9
201,31055.7
202,31024.6
203,30993.6
204,30962.6
205,30931.6
206,30900.6
207,30869.7
208,30838.9
209,30808
210,30777.2
211,30746.5
212,30715.7
213,30685
214,30654.4
215,30623.8
216,30593.2
217,30562.6
218,30532.1
219,30501.7
220,30471.2
221,30440.8
222,30410.5
223,30380.2
224,30349.9
225,30319.6
226,30289.4
227,30259.2
228,30229.1
229,30199
230,30168.9
231,30138.9
232,30108.9
233,30078.9
234,30049
235,30019.1
236,29989.2
237,29959.4
238,29929.6
239,29899.8
240,29870.1
241,29840.4
242,29810.8
243,29781.2
244,29751.6
245,29722.1
246,29692.6
247,29663.1
248,29633.7
249,29604.3
250,29574.9
251,29545.6
252,29516.3
253,29487
254,29457.8
255,29428.6
256,29399.5
257,29370.4
258,29341.3
259,29312.2
260,29283.2
261,29254.2
262,29225.3
263,29196.4
264,29167.5
265,29138.7
266,29109.9
267,29081.1
268,29052.3
269,29023.6
270,28995
271,28966.3
272,28937.7
273,28909.2
274,28880.6
275,28852.1
276,28823.7
277,28795.2
278,28766.8
279,28738.5
280,28710.2
281,28681.9
282,28653.6
283,28625.4
284,28597.2
285,28569
286,28540.9
287,28512.8
288,28484.8
289,28456.7
290,28428.7
291,28400.8
292,28372.9
293,28345
294,28317.1
295,28289.3
296,28261.5
297,28233.7
298,28206
299,28178.3
300,28150.7
301,28123
302,28095.4
303,28067.9
304,28040.4
305,28012.9
306,27985.4
307,27958
308,27930.6
