Iteration,GradientNorm
1,33799.7
2,41758.7
3,29080.7
4,8203.07
5,5282.09
6,4653.28
7,8046.54
8,81406.2
9,10722.3
10,2002.14
11,1917.75
12,2380.87
13,21072.6
14,28460.9
15,23736
16,8553.17
17,1392.52
18,1030.2
19,911.539
20,1098.13
21,33902.4
22,64339.4
23,9758.22
24,2032.7
25,947.525
26,666.519
27,598.538
28,1873.46
29,29911.8
30,9090.48
31,1334.04
32,653.725
33,553.77
34,496.862
35,2370.09
36,44146.4
37,8396.41
38,1824.49
39,774.48
40,456.033
41,426.616
42,1373.94
43,36336
44,5316.68
45,952.125
46,603.707
47,440.449
48,456.366
49,1518.15
50,2696.33
51,665.262
52,476.924
53,377.228
54,386.518
55,1111.04
56,4751.56
57,609.95
58,340.713
59,339.858
60,732.306
61,391665
62,71009.7
63,1216.56
64,898.054
65,556.973
66,567.606
67,2200.88
68,8921.79
69,1578.8
70,573.051
71,431.444
72,422.876
73,2329.75
74,61517
75,2203.63
76,569.956
77,306.997
78,265.466
79,459.834
80,4801.02
81,2080.02
82,239.195
83,230.626
84,372.908
85,10338.6
86,5071.75
87,1556.17
88,906.688
89,182.715
90,150.251
91,150.42
92,2529.94
93,80087
94,2183.41
95,539.356
96,225.807
97,128.069
98,113.349
99,185.846
100,6026.4
101,4809.67
102,298.552
103,145.967
104,118.705
105,116.947
106,440.242
107,3377.27
108,1440.53
109,260.468
110,162.231
111,105.721
112,105.338
113,1388.76
114,31378.7
115,1006.57
116,393.336
117,154.483
118,100.893
119,103.607
120,999.685
121,10026.9
122,466.715
123,149.856
124,105.568
125,103.82
126,369.038
127,2384.25
128,213.468
129,98.0754
130,96.2534
131,164.255
132,29985.3
133,18785.4
134,4794.71
135,2699.67
136,250.804
137,124.807
138,94.7759
139,89.3448
140,204.982
141,1618.77
142,1356.49
143,846.009
144,87.9365
145,84.3183
146,115.79
147,3009.41
148,4374.8
149,2263.79
150,698.798
151,125.329
152,86.1291
153,81.9268
154,214.05
155,8355.89
156,1541.59
157,171.003
158,131.921
159,87.2565
160,91.5463
161,257.143
162,798.998
163,383.872
164,315.777
165,87.8624
166,78.9662
167,80.6489
168,4879.55
169,98898.5
170,3988.4
171,1242.17
172,396.516
173,132.884
174,79.6083
175,86.1927
176,550.855
177,1478.37
178,131.274
179,74.6204
180,72.8991
181,113.397
182,31130.7
183,23753.5
184,3038.96
185,336.468
186,106.466
187,80.6408
188,68.5697
189,97.4839
190,1365.65
191,1927.58
192,319.078
193,76.5198
194,67.147
195,74.1656
196,724.55
197,2754.65
198,712.713
199,322.82
200,77.907
201,67.0704
202,67.2594
203,342.562
204,5911.78
205,2457.18
206,483.809
207,235.504
208,82.9823
209,66.6807
210,104.605
211,969.54
212,580.061
213,63.8711
214,63.5836
215,228.932
216,60326.9
217,25611.5
218,16608.5
219,2953.2
220,926.896
221,450.07
222,246.996
223,110.654
224,226.198
225,92.1734
226,54.1942
227,54.0405
228,331.677
229,156009
230,4311.57
231,713.03
232,426.195
233,93.3076
234,51.1418
235,48.9166
236,99.5279
237,4325.51
238,2917.77
239,1326.7
240,241.46
241,75.3329
242,52.9729
243,48.1982
244,90.5381
245,3492.78
246,1487.56
247,101.914
248,80.1152
249,50.6981
250,48.3838
251,108.208
252,1925.04
253,1394.76
254,536.631
255,143.86
256,60.5895
257,51.7524
258,53.3307
259,295.096
260,1436.64
261,115.665
262,53.5542
263,48.6504
264,62.4991
265,392.548
266,596.285
267,278.567
268,291.337
269,78.5618
270,46.3502
271,45.761
272,140.668
273,26154.8
274,23008.5
275,3220.64
276,1826.12
277,845.87
278,89.3036
279,195.205
280,72.7251
281,42.9388
282,42.8529
283,317.428
284,206431
285,3959.57
286,849.885
287,516.766
288,91.1214
289,49.2858
290,42.146
291,47.7088
292,122.308
293,201.459
294,59.231
295,40.0468
296,38.8881
297,85.0041
298,969.123
299,293.544
300,48.2779
301,37.2999
302,37.3085
303,882.629
304,236716
305,23158.5
306,2487.08
307,287.868
308,51.456
309,35.5772
310,34.8714
311,132.285
312,1935.15
313,221.617
314,54.1772
315,36.8724
316,34.7749
317,59.2309
318,647.847
319,332.193
320,103.448
321,59.9941
322,33.857
323,33.4346
324,90.351
325,13125.5
326,2077.96
327,91.2399
328,69.932
329,35.6913
330,34.3803
331,94.2339
332,811.484
333,217.67
334,64.7991
335,36.6805
336,33.1992
337,42.4195
338,566.378
339,801.709
340,85.3695
341,34.9666
342,32.2338
343,34.7589
344,2219.9
345,12920.5
346,68.0725
347,37.8165
348,32.5293
349,37.0527
350,427.538
351,1147.65
352,67.1316
353,32.4292
354,31.4664
355,56.4691
356,5370.65
357,4263.26
358,557.22
359,196.661
360,124.47
361,37.7783
362,58.5356
363,122.485
364,53.6559
365,30.5979
366,30.4839
367,152.099
368,67153.8
369,2795
370,93.2483
371,51.0505
372,29.0675
373,28.6566
374,158.039
375,9524.88
376,1193.27
377,394.644
378,175.522
379,29.4474
380,28.828
381,123.782
382,2467.13
383,173.702
384,42.8297
385,33.1879
386,30.191
387,64.0367
388,350.451
389,91.5386
390,30.4782
391,28.768
392,49.908
393,576.29
394,273.109
395,28.9488
396,27.7127
397,29.7525
398,4822.53
399,31897.5
400,1572.61
401,499.472
402,254.516
403,116.273
404,104.161
405,112.331
406,27.3893
407,25.9651
408,26.5536
409,2145.85
410,56536.7
411,4514.86
412,2144.48
413,1122.37
414,81.0352
415,55.005
416,99.111
417,44.3203
418,24.8684
419,24.6075
420,72.8276
421,13038.9
422,1820.26
423,182.257
424,144.108
425,36.38
426,26.4167
427,34.0551
428,151.562
429,195.747
430,61.5631
431,30.1269
432,25.3624
433,28.5073
434,125.538
435,290.145
436,26.2347
437,23.8394
438,23.8458
439,3311.22
440,1.79763e+06
441,317957
442,71727.9
443,16502.5
444,7861.81
445,782.591
446,549.375
447,277.813
448,18.0939
449,15.8189
450,15.88
451,139.969
452,2961.95
453,359.983
454,103.303
455,45.995
456,30.9405
457,24.3663
458,18.2818
459,17.1036
460,25.1388
461,92.2862
462,57.0254
463,15.4904
464,15.4099
465,19.4065
466,111247
467,187780
468,619.877
469,525.058
470,181.53
471,300.339
472,227.549
473,114.612
474,18.1016
475,13.6344
476,12.6018
477,27.5688
478,919.006
479,351.662
480,45.1379
481,24.2019
482,19.0568
483,18.5807
484,114.52
485,116.125
486,11.7498
487,11.4977
488,12.4513
489,1522.26
490,13961.3
491,9124.42
492,1993.32
493,621.87
494,359.881
495,87.3808
496,47.4395
497,82.8912
498,39.2911
499,14.5431
500,13.6379
501,14.5491
502,96.9373
503,622.459
504,65.9827
505,21.9227
506,14.5495
507,11.6828
508,12.3778
509,61.6259
510,331.059
511,244.509
512,109.652
513,12.2567
514,11.5127
515,17.1918
516,206.242
517,153.139
518,28.2094
519,31.2923
520,13.6204
521,11.2261
522,11.4835
523,182.419
524,2908.43
525,19.4867
526,11.5214
527,11.1449
528,15.4666
529,2066.59
530,2222.76
531,42.0939
532,17.0178
533,12.0925
534,11.4176
535,34.7407
536,774.717
537,116.75
538,21.5529
539,17.4244
540,12.1438
541,11.9105
542,34.2933
543,489.405
544,288.643
545,41.1929
546,29.0732
547,11.7535
548,11.4136
549,59.0925
550,891.919
551,129.715
552,29.1075
553,16.7551
554,11.1958
555,11.6635
556,147.909
557,1250.46
558,181.827
559,28.888
560,12.4889
561,11.075
562,12.2052
563,437.421
564,2097.75
565,195.608
566,55.0924
567,20.9586
568,11.4276
569,11.0681
570,41.6432
571,1959.95
572,345.512
573,56.7845
574,28.9099
575,13.2607
576,11.4359
577,21.469
578,232.982
579,113.651
580,17.5921
581,11.1383
582,10.9532
583,24.5798
584,4963.65
585,4457.94
586,855.336
587,271.945
588,177.652
589,25.1174
590,38.0311
591,36.6303
592,12.0435
593,10.8186
594,11.0794
595,741.797
596,14189.5
597,586.356
598,155.874
599,18.7726
600,12.4408
601,11.0329
602,13.8606
603,186.18
604,530.972
605,225.367
606,35.3486
607,20.8399
608,10.7402
609,10.778
610,258
611,17364
612,461.716
613,212.337
614,60.1868
615,16.9624
616,13.5939
617,12.7741
618,15.8214
619,28.8598
620,24.81
621,11.4564
622,10.7661
623,16.3261
624,477.936
625,363.619
626,15.5371
627,10.8623
628,10.745
629,36.9766
630,1412.27
631,130.302
632,12.3896
633,10.7766
634,11.9004
635,154.755
636,588.202
637,10.9724
638,10.5851
639,10.7998
640,4536.5
641,107847
642,3749.65
643,392.421
644,41.1289
645,12.6617
646,10.0506
647,9.98491
648,117.732
649,12725
650,424.167
651,216.859
652,133.313
653,39.526
654,32.7609
655,71.9533
656,33.2144
657,10.9975
658,10.2215
659,12.9919
660,405.663
661,557.852
662,16.6602
663,10.1736
664,9.93985
665,21.9943
666,1226.4
667,313.459
668,14.0488
669,10.367
670,10.1169
671,60.1424
672,2845.7
673,293.97
674,58.5327
675,48.2175
676,18.3438
677,29.2761
678,116.704
679,33.3264
680,10.8025
681,9.89018
682,10.4673
683,336.122
684,3085.77
685,465.429
686,147.529
687,53.9143
688,10.8275
689,10.2741
690,27.9543
691,318.686
692,48.8534
693,10.42
694,10.1109
695,20.9719
696,296.314
697,216.293
698,149.055
699,42.5888
700,23.4474
701,10.7987
702,9.89574
703,11.1286
704,349.975
705,1205.7
706,16.5368
707,11.8674
708,9.94423
709,11.2674
710,154.718
711,501.977
712,65.2383
713,17.0196
714,10.547
715,9.9644
716,23.9208
717,479.562
718,139.179
719,18.2989
720,10.1924
721,9.78048
722,14.2347
723,1008.19
724,1711.84
725,996.677
726,131.314
727,47.3719
728,21.9943
729,9.77935
730,9.81566
731,118.495
732,4159.83
733,111.354
734,52.3046
735,14.8268
736,9.90133
737,9.97283
738,89.3347
739,1340.72
740,85.7966
741,21.5381
742,11.1697
743,9.87249
744,12.5491
745,309.757
746,522.71
747,20.4215
748,11.0461
749,9.79452
750,10.6787
751,195.004
752,1240.19
753,511.427
754,102.268
755,36.8263
756,19.8156
757,11.0798
758,13.7184
759,57.9547
760,59.0853
761,9.89254
762,9.60687
763,9.70801
764,10412.8
765,514881
766,29256.4
767,12698
768,3683.27
769,1039.24
770,455.249
771,669.373
772,253.227
773,21.8421
774,14.44
775,9.16252
776,9.08623
777,53.0613
778,272.252
779,14.8559
780,8.77672
781,8.27969
782,10.4362
783,365.705
784,1247.22
785,542.252
786,88.5304
787,42.1135
788,23.7204
789,13.3169
790,28.4822
791,19.3898
792,8.30888
793,8.1586
794,12.0856
795,4831.67
796,4029.81
797,9.19755
798,8.49814
799,10.6467
800,88.1714
801,166.573
802,72.6652
803,35.3399
804,8.61603
805,8.27613
806,12.3975
807,201.029
808,417.49
809,442.149
810,42.3213
811,18.5949
812,12.5261
813,8.32765
814,8.54869
815,91.0702
816,910.308
817,117.067
818,31.1891
819,17.0185
820,9.14692
821,8.8511
822,32.1955
823,166.696
824,22.702
825,9.05985
826,8.15804
827,9.58927
828,209.357
829,718.39
830,229.291
831,42.4592
832,19.266
833,8.21083
834,8.12584
835,43.5337
836,1736.29
